LoanID,StringID,Product,CustomerGender,Location,Region,TotalPrice
1,id_1,Product B,Male,Location 2,Region 2,16600.0
2,id_2,Product B,Male,Location 3,,16600.0
3,id_3,Product C,Female,Location 5,Region 5,15600.0
4,id_4,Product B,Male,Location 6,Region 1,16600.0
5,id_5,Product D,Female,Location 7,Region 2,20250.0
6,id_6,Product B,Female,Location 10,Region 2,
7,id_7,Product A,Male,Location 11,Region 3,20250.0
8,id_8,Product B,Male,Location 12,Region 6,16600.0
9,id_9,Product A,Female,Location 3,Region 3,22250.0
10,id_10,Product A,Female,Location 13,Region 6,20250.0
11,id_11,Product B,Female,Location 15,Region 2,16600.0
12,id_12,Product D,Female,Location 16,Region 1,20250.0
13,id_13,Product B,Male,Location 17,Region 3,16600.0
14,id_14,Product A,Male,Location 19,Region 2,20750.0
15,id_15,Product A,Female,Location 23,Region 4,22250.0
16,id_16,Product B,Male,Location 27,Region 2,16600.0
17,id_17,Product A,Male,Location 25,Region 3,22250.0
18,id_18,Product B,Female,Location 26,Region 3,16600.0
19,id_19,Product B,Male,Location 29,Region 1,16600.0
20,id_20,Product E,Male,Location 30,Region 2,54625.0
21,id_21,Product B,Male,Location 31,Region 4,16600.0
22,id_22,Product A,Male,Location 17,Region 3,22250.0
23,id_23,Product A,Male,Location 33,Region 3,19250.0
24,id_24,Product C,NotSpecified,Location 34,Region 1,15600.0
25,id_25,Product D,Female,Location 35,Region 6,20250.0
26,id_26,Product A,Male,Location 37,Region 4,22250.0
27,id_27,Product A,Female,Location 38,Region 3,19250.0
28,id_28,Product F,Female,Location 39,Region 6,69225.0
29,id_29,Product D,Female,Location 40,Region 6,20250.0
30,id_30,Product B,Male,Location 30,Region 2,16600.0
31,id_31,Product B,Male,Location 41,Region 1,16600.0
32,id_32,Product B,Male,Location 42,Region 4,16600.0
33,id_33,Product A,Female,Location 22,Region 6,19250.0
34,id_34,Product B,Male,Location 43,Region 3,16600.0
35,id_35,Product A,Female,Location 46,Region 2,19250.0
36,id_36,Product B,Female,Location 47,Region 7,16600.0
37,id_37,Product B,Male,Location 50,Region 1,16600.0
38,id_38,Product B,Male,Location 26,Region 3,16600.0
39,id_39,Product C,NotSpecified,Location 52,Region 6,15600.0
40,id_40,Product B,Female,Location 25,Region 3,16600.0
41,id_41,Product B,Male,Location 17,Region 3,16600.0
42,id_42,Product B,Female,Location 19,Region 2,16600.0
43,id_43,Product A,Male,Location 53,Region 6,19250.0
44,id_44,Product C,NotSpecified,Location 54,Region 4,15600.0
45,id_45,Product A,Male,Location 46,Region 2,19250.0
46,id_46,Product B,Male,Location 44,Region 1,16600.0
47,id_47,Product B,Male,Location 39,Region 6,16600.0
48,id_48,Product B,Male,Location 30,Region 2,16600.0
49,id_49,Product D,Male,Location 56,Region 3,20250.0
50,id_50,Product A,Female,Location 44,Region 1,22250.0
51,id_51,Product B,Male,Location 57,Region 6,16600.0
52,id_52,Product A,Female,Location 39,Region 6,20250.0
53,id_53,Product D,Male,Location 59,Region 6,20250.0
54,id_54,Product B,Male,Location 44,Region 1,16600.0
