Rank,NOC,Gold,Silver,Bronze,Total
1,Soviet Union,49,41,35,125
2,East Germany,40,25,25,90
3,United States,34,35,25,94
4,West Germany,10,12,17,39
5,Japan,9,6,10,25
6,Poland,7,6,13,26
7,Bulgaria,6,9,7,22
8,Cuba,6,4,3,13
9,Romania,4,9,14,27
10,Hungary,4,5,13,22
11,Finland,4,2,0,6
12,Sweden,4,1,0,5
13,Great Britain,3,5,5,13
14,Italy,2,7,4,13
15,France,2,3,4,9
16,Yugoslavia,2,3,3,8
17,Czechoslovakia,2,2,4,8
18,New Zealand,2,1,1,4
19,South Korea,1,1,4,6
20,Switzerland,1,1,2,4
21,Jamaica,1,1,0,2
21,North Korea,1,1,0,2
21,Norway,1,1,0,2
24,Denmark,1,0,2,3
25,Mexico,1,0,1,2
26,Trinidad and Tobago,1,0,0,1
27,Canada*,0,5,6,11
28,Belgium,0,3,3,6
29,Netherlands,0,2,3,5
30,Portugal,0,2,0,2
30,Spain,0,2,0,2
32,Australia,0,1,4,5
33,Iran,0,1,1,2
34,Mongolia,0,1,0,1
34,Venezuela,0,1,0,1
36,Brazil,0,0,2,2
37,Austria,0,0,1,1
37,Bermuda,0,0,1,1
37,Pakistan,0,0,1,1
37,Puerto Rico,0,0,1,1
37,Thailand,0,0,1,1
Totals (41 entries),Totals (41 entries),198,199,216,613
