Name,Description,URL,Image,Provider,Date Published,Category
"Old Lunar <b>Data</b> Gets New Life, With Help From Seismologists",Photo: NASA Apollo 11 astronaut Buzz Aldrin with the Passive Seismic Experiment. The NASA probe that touched down on Mars earlier this week is carrying a sensitive seismometer to measure the Red ...,https://spectrum.ieee.org/tech-talk/aerospace/space-flight/old-lunar-data-gets-new-life-with-help-from-seismologists,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.A88D99314ECA3A662AAE6527770EBBCC&pid=News', 'width': 700, 'height': 255}}","[{'_type': 'Organization', 'name': 'IEEE Spectrum', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270917fc09a30ba1a4b43d0cc9990be2df89bb&pid=News'}}}]",2018-11-28T15:22:00.0000000Z,ScienceAndTechnology
Facebook&#39;s plans to sell user <b>data</b> revealed in email,"Facebook considered selling users&#39; <b>data</b> to companies, despite a promise from Mark Zuckerberg never to do so. The company mulled charging for access to user <b>data</b> several years ago, however ultimately it decided against it, The Telegraph understands.",https://www.telegraph.co.uk/technology/2018/11/29/facebooks-plans-sell-user-data-revealed-email/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.450BBFDF2A32E3A149A7E09D526633D5&pid=News', 'width': 700, 'height': 437}}","[{'_type': 'Organization', 'name': 'The Daily Telegraph'}]",2018-11-29T06:00:00.0000000Z,ScienceAndTechnology
Dell&#39;s Website Targeted in Attempted Hack of Customer <b>Data</b>,"Dell&#39;s company website was targeted in a hack that tried to steal customer <b>data</b>, the PC maker reported on Wednesday. Fortunately, no payment card <b>data</b> appears to have been stolen. The PC maker said on Nov. 9 it had &quot;detected and disrupted&quot; an intrusion ...",https://www.pcmag.com/news/365182/dells-website-targeted-in-attempted-hack-of-customer-data,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.296AEDD72A47A1D4325D33BAE5FC9536&pid=News', 'width': 700, 'height': 394}}","[{'_type': 'Organization', 'name': 'PC Magazine', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270849cd08d82c1ef48fe589b3c71325dde219&pid=News'}}}]",2018-11-29T00:11:00.0000000Z,ScienceAndTechnology
NBA notebook: League to provide real-time betting <b>data</b>,"The NBA announced Wednesday it will distribute official real-time betting <b>data</b> to licensed sports betting operators in the U.S., making it the first major American sports league to provide such <b>data</b> to sportsbooks. The league unveiled <b>data</b> partnerships ...",https://www.reuters.com/article/us-basketball-nba-notebook-idUSKCN1NY04N,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.D3FCE5732597D28BE9855912F3B740D7&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'Reuters', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112703088c55db8372fb09eff5a52e3f20e47c08&pid=News'}}}]",2018-11-29T01:23:00.0000000Z,Sports
WADA visits Moscow lab seeking key doping <b>data</b>,"MOSCOW (AP) — A delegation from the World Anti-Doping Agency visited the Moscow laboratory at the center of Russia&#39;s doping cover-ups on Wednesday, seeking <b>data</b> which could lead to more bans for the country&#39;s top athletes. Russia must provide computer ...",https://www.usatoday.com/story/sports/olympics/2018/11/28/wada-experts-hold-moscow-talks-over-doping-lab-data/38631083/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.56ACD3DCBC2CD21C09F23F8EBADEE48F&pid=News', 'width': 534, 'height': 401}}","[{'_type': 'Organization', 'name': 'USA Today', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112701169b58a8779383348cb22aedb790622595&pid=News'}}}]",2018-11-28T06:37:00.0000000Z,World
Bloomberg Introduces Real-time GIFT IFSC Derivatives <b>Data</b> for International Investors,"<b>Data</b> feeds provided by India International Exchange and National Stock Exchange track equity, commodity and currency derivatives in India’s first International Financial Services Centre Gujarat International Finance Tec-City (GIFT City), Gujarat, India.",https://www.bloomberg.com/company/announcements/bloomberg-introduces-real-time-gift-ifsc-derivatives-data-international-investors/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.CD3A56022064B82E626B5BEF1296B6E2&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'Bloomberg L.P.', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11241016c809c0b228821ed7b95768a5fc8e66ba&pid=News'}}}]",2018-11-28T21:00:00.0000000Z,Business
"In Indonesia Lion Air Crash, Black Box <b>Data</b> Reveal Pilots’ Struggle to Regain Control","<b>Data</b> from the jetliner that crashed into the Java Sea last month shows the pilots fought to save the plane almost from the moment it took off, as the Boeing 737’s nose was repeatedly forced down, apparently by an automatic system receiving incorrect ...",https://www.nytimes.com/2018/11/27/world/asia/indonesia-lion-air-crash-.html,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.15130E15174A9C7398CD4569B4A18013&pid=News', 'width': 700, 'height': 366}}","[{'_type': 'Organization', 'name': 'The New York Times', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR112704351b3726503af8d49e9073524443235308&pid=News'}}}]",2018-11-28T14:33:00.0000000Z,
"Facebook pondered, for a time, selling access to user <b>data</b>","A failure to adequately redact a public court document from February 2017 shows that, back in 2012, Facebook considered charging companies at least $250,000 for access to one of its primary troves ...",https://arstechnica.com/tech-policy/2018/11/facebook-pondered-for-a-time-selling-access-to-user-data/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.EC5EB0769BC32B57433D24D9411EC77E&pid=News', 'width': 700, 'height': 466}}","[{'_type': 'Organization', 'name': 'Ars Technica', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270537ba36fbc6b5ca233cd651e8aadec117c6&pid=News'}}}]",2018-11-29T01:10:00.0000000Z,ScienceAndTechnology
Facebook reportedly considered charging for access to user <b>data</b>,"Facebook considered charging companies for access to user <b>data</b> several years ago, The Wall Street Journal reported Wednesday, citing internal Facebook emails in an unredacted court document. Facebook employees also discussed encouraging advertisers to ...",https://www.cnet.com/news/facebook-reportedly-considered-charging-for-access-to-user-data/,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.107D3C8A8086CA1E85AE8B17D1FCD65B&pid=News', 'width': 700, 'height': 393}}","[{'_type': 'Organization', 'name': 'CNET', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.SIR11270401bd2de9294acf5a020a910047b549043d&pid=News'}}}]",2018-11-28T23:27:00.0000000Z,ScienceAndTechnology
"Fans are calling for Netflix to renew &#39;Daredevil,&#39; but <b>data</b> shows interest in the show has fallen off","It&#39;s been a month since the third season of Marvel&#39;s &quot;Daredevil&quot; premiered on Netflix, and still no word on a season four renewal. In an effort to change that, fans have been taking to Twitter with the hashtag #RenewDaredevil— but their efforts may be in ...",https://www.businessinsider.com/fans-want-netflix-daredevil-renewal-but-data-shows-interest-is-down-2018-11,"{'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.D662C7D8B455651868914A0B3DE7BC1A&pid=News', 'width': 700, 'height': 350}}","[{'_type': 'Organization', 'name': 'Business Insider', 'image': {'thumbnail': {'contentUrl': 'https://www.bing.com/th?id=ON.WLSIR11270308abe6555b2cfea859e73d1b0d80e2e57d&pid=News'}}}]",2018-11-28T14:20:00.0000000Z,Entertainment
